Code.Class	Name	Accession	20140224_il10_brains_custom2_01.RCC	20140224_il10_brains_custom2_02.RCC	20140224_il10_brains_custom2_03.RCC	20140224_il10_brains_custom2_04.RCC	20140224_il10_brains_custom2_05.RCC	20140224_il10_brains_custom2_06.RCC	20140224_il10_brains_custom2_07.RCC	20140224_il10_brains_custom2_08.RCC	20140224_il10_brains_custom2_09.RCC	20140224_il10_brains_custom2_10.RCC	20140224_il10_brains_custom2_11.RCC	20140224_il10_brains_custom2_12.RCC	20140319_il1ntg_c-2exp3_03.RCC	20140319_il1ntg_c-2exp3_04.RCC	20140319_il1ntg_c-2exp3_05.RCC	20140319_il1ntg_c-2exp3_06.RCC	20140319_il1ntg_c-2exp3_07.RCC	20140319_il1ntg_c-2exp3_08.RCC	20140319_il1ntg_c-2exp3_09.RCC	20140319_il1ntg_c-2exp3_11.RCC	20140319_il1ntg_c-2exp3_12.RCC	20140321_old_mice_bri42-crnd8_07.RCC	20140321_old_mice_bri42-crnd8_08.RCC	20140321_old_mice_bri42-crnd8_09.RCC	20140321_old_mice_bri42-crnd8_10.RCC	20140321_old_mice_bri42-crnd8_11.RCC	20140321_old_mice_bri42-crnd8_12.RCC	
1	Endogenous	ABCA1	NM_013454.3	458	379	130	230	431	396	598	499	139	480	274	495	120	87	221	179	287	312	52	232	190	556	622	280	493	453	389
2	Endogenous	ACE	NM_009598.2	133	120	53	133	164	161	198	172	40	176	137	199	55	28	80	133	123	119	25	112	121	217	252	105	275	294	226
3	Endogenous	ADAM_10	NM_007399.3	792	750	242	711	1027	955	1057	1060	243	1005	725	1179	224	275	609	523	698	623	155	627	547	1092	1232	478	1260	1212	1006
4	Endogenous	ADAM_17/TACE	NM_001277266.1	151	158	51	130	213	157	208	245	66	186	138	199	56	53	110	107	141	116	34	122	96	222	243	107	237	241	160
5	Endogenous	ALOX5	NM_009662.2	27	22	13	25	23	26	25	36	7	19	25	26	11	9	11	17	16	33	2	17	15	32	71	20	40	32	35
6	Endogenous	ALOX5AP	NM_009663.1	30	47	15	27	25	25	54	61	11	37	34	37	13	6	15	22	34	40	6	18	22	42	40	15	29	27	25
7	Endogenous	APP	NM_001198823.1	8398	7064	2257	7350	10494	9428	10360	10089	2434	10470	7912	11407	994	1333	3058	2415	3126	3164	686	3245	5328	12702	14198	5786	7897	8233	6730
8	Endogenous	APP	NM_000484.3	66126	55430	17015	59547	86422	77695	92577	83639	18773	82720	64723	102070	1875	2329	4702	3886	4919	4691	1346	5149	43964	86614	103766	38666	13493	13039	10586
9	Endogenous	ARG1	NM_007482.3	9	9	2	6	2	13	13	16	1	8	4	13	3	6	8	13	8	12	3	5	15	9	13	3	11	14	3
10	Endogenous	Aif	NM_012019.2	245	229	68	250	299	361	323	325	74	295	257	363	71	107	201	185	234	228	53	207	196	235	354	103	349	322	297
11	Endogenous	ApoE4	NM_000041.2	5	2	1	1	1	6	7	7	3	3	4	3	2	1	4	3	4	4	1	3	10	8	6	1	2	4	4
12	Endogenous	ApoE4	NM_009696.2	16491	14784	4815	8217	12458	12334	21720	22594	5267	13258	8975	15777	4572	3782	6779	6623	13079	9792	2880	8402	7166	14835	18780	7810	14113	14406	12670
13	Endogenous	Aquaporin4	NM_009700.2	552	613	186	452	641	529	731	816	168	556	446	828	160	188	425	304	445	354	109	367	372	967	1162	486	653	655	544
14	Endogenous	Arc/arg3_1	NM_018790.2	107	95	61	202	290	400	137	299	51	309	107	347	27	62	107	187	226	101	22	247	138	277	1060	467	1473	1512	792
15	Endogenous	Axi	NM_001159598.1	46	41	19	49	86	86	69	80	22	71	72	89	18	21	45	39	41	45	9	36	39	69	103	47	92	100	83
16	Endogenous	B2M	NM_009735.3	2951	4796	1372	1415	2007	1808	3789	7530	1228	2020	1696	1889	1176	748	1768	770	3769	3208	689	923	921	4878	4264	2199	1994	2016	1776
17	Endogenous	BACE1	NM_011792.4	535	446	149	553	758	638	795	708	178	692	537	836	127	184	482	319	457	445	83	441	358	757	982	345	987	902	818
18	Endogenous	BDNF	NM_007540.4	172	134	55	156	176	181	228	333	43	198	134	199	39	81	134	114	137	122	27	160	114	153	194	70	296	239	149
19	Endogenous	Bsn	NM_007567.2	561	471	190	573	857	650	882	938	165	757	602	832	109	175	395	342	296	386	84	419	325	1378	1521	588	1835	1650	1163
20	Endogenous	C1qa	NM_007572.2	1228	1256	402	498	530	480	1236	2202	443	575	573	712	453	148	278	171	1079	845	217	216	189	1388	1576	747	591	569	509
21	Endogenous	C1qb	NM_009777.2	1552	2111	537	615	961	686	2323	3057	490	844	519	679	654	218	438	191	1545	1109	376	334	365	1769	1887	608	594	674	766
22	Endogenous	C1r	NM_023143.3	77	71	20	34	34	27	90	111	16	38	20	30	11	9	35	17	51	44	7	31	33	44	62	25	71	52	54
23	Endogenous	C1s	NM_144938.2	9	15	2	6	3	9	17	18	7	6	2	11	2	1	10	7	15	12	5	6	6	15	16	9	7	7	11
24	Endogenous	C3	NM_009778.2	13	23	5	11	11	6	24	43	6	10	8	14	5	5	16	9	20	19	4	4	8	23	31	18	6	8	12
25	Endogenous	C3ar1	NM_009779.2	117	120	41	50	55	69	188	235	37	53	53	86	32	13	29	12	88	83	15	11	26	148	150	82	48	42	37
26	Endogenous	C5AR1	NM_007577.4	34	29	9	10	10	5	51	60	12	9	12	10	9	3	8	7	18	36	6	10	4	29	28	9	19	8	6
27	Endogenous	CARD9	NM_001037747.1	31	31	10	15	26	22	38	48	12	27	20	25	10	8	15	19	28	34	8	20	20	42	51	22	37	34	31
28	Endogenous	CASP1	NM_009807.2	47	38	15	29	73	46	67	76	11	68	41	46	20	22	69	31	55	51	10	43	30	74	64	31	69	54	61
29	Endogenous	CASP8	NM_009812.2	39	28	13	33	40	39	56	70	13	35	38	47	7	13	34	20	43	38	11	30	15	61	65	27	35	28	36
30	Endogenous	CCL2	NM_011333.3	22	32	15	7	14	4	23	72	5	11	11	12	8	4	12	7	45	44	12	8	11	24	17	7	15	16	7
31	Endogenous	CCL5	NM_013653.3	33	89	21	11	12	11	57	128	22	9	10	6	17	3	17	2	97	69	6	9	4	11	14	10	8	14	7
32	Endogenous	CCND1	NM_007631.2	92	99	24	72	119	74	109	117	30	129	68	137	28	13	37	37	47	50	26	44	36	156	157	84	185	147	170
33	Endogenous	CD14	NM_009841.3	21	18	11	16	19	10	34	34	4	20	17	17	4	7	21	3	15	16	5	10	15	47	56	27	14	16	15
34	Endogenous	CD33	NM_001111058.1	24	27	7	12	25	22	32	44	12	30	14	28	12	1	15	16	27	22	2	12	9	45	61	16	29	28	12
35	Endogenous	CD36	NM_001159555.1	27	29	2	27	36	38	40	28	6	29	21	52	10	11	40	40	28	26	16	30	32	68	70	23	46	45	28
36	Endogenous	CD39/ENTPD1	NM_009848.3	105	95	26	113	156	135	122	123	32	128	117	184	26	53	105	76	100	98	22	95	63	164	134	66	129	113	126
37	Endogenous	CR3/ITGAM	NM_001082960.1	164	199	35	42	81	78	211	252	71	80	87	94	49	16	25	28	160	145	34	34	18	186	213	98	103	112	75
38	Endogenous	CR4/ITGAX	NM_021334.2	6	7	1	5	1	1	9	13	2	5	3	10	1	2	1	2	6	4	1	4	2	16	25	17	4	4	5
39	Endogenous	CRH	NM_205769.1	28	33	15	50	54	61	60	55	23	82	48	66	17	27	40	36	53	60	11	44	54	51	59	19	60	69	63
40	Endogenous	CRHR1	NM_007762.4	24	34	15	50	66	61	60	51	8	72	50	72	7	19	44	33	46	38	13	36	37	70	89	26	100	90	77
41	Endogenous	CX3CR1	NM_009987.3	463	477	120	357	442	429	549	683	157	485	385	509	140	89	223	169	345	423	77	166	193	743	776	359	402	399	293
42	Endogenous	CXCR7	NM_007722.3	39	49	18	37	71	44	63	60	22	56	40	60	13	14	19	28	44	41	14	43	27	51	55	24	63	62	42
43	Endogenous	Calbindin	NM_009788.4	968	871	245	869	1008	1051	1178	873	273	1077	808	1314	204	313	608	581	686	561	149	619	611	1157	1252	485	1242	1219	878
44	Endogenous	Catalase	NM_009804.2	459	394	146	356	561	578	642	565	148	582	451	605	117	126	332	300	387	336	71	324	355	640	688	278	615	626	565
45	Endogenous	Ccl11	NM_011330.3	1	1	1	1	3	1	1	3	2	1	1	3	1	1	1	2	4	2	1	1	1	5	4	1	2	2	1
46	Endogenous	Ccl17	NM_011332.3	55	31	10	36	40	48	47	41	10	34	34	30	8	4	20	11	34	21	1	19	26	50	53	39	70	45	43
47	Endogenous	Ccl19	NM_011888.2	9	15	3	12	13	8	17	19	2	10	8	16	4	5	12	12	15	15	2	4	6	23	20	4	21	14	11
48	Endogenous	Ccl21b	NM_011335.2	11	7	2	10	12	14	13	11	5	15	12	18	2	1	4	5	6	7	1	5	4	13	16	2	7	4	4
49	Endogenous	Ccl3	NM_011337.2	10	7	1	13	6	19	9	9	3	20	18	19	4	2	8	6	4	16	6	11	6	28	28	21	10	11	8
50	Endogenous	Ccl4	NM_013652.2	9	7	2	9	5	11	3	17	1	16	9	4	3	2	2	2	13	7	2	5	6	26	4	11	9	4	7
51	Endogenous	Ccl7	NM_013654.3	14	22	3	13	2	11	17	21	3	6	3	7	3	1	12	2	16	17	8	9	3	13	8	5	10	6	7
52	Endogenous	Ccl8	NM_021443.2	177	291	99	6	10	6	279	448	75	11	7	11	73	2	27	1	403	219	42	7	8	17	25	9	9	13	11
53	Endogenous	Ccr1	NM_009912.4	13	13	5	9	11	4	18	15	1	9	1	11	2	5	4	11	18	11	4	11	8	13	14	2	11	5	2
54	Endogenous	Ccr4	NM_009916.2	5	4	1	3	4	6	2	10	1	2	1	4	3	4	5	9	6	11	3	3	4	10	8	3	5	5	6
55	Endogenous	Cd55	NM_010016.2	53	68	13	49	84	48	77	65	15	75	54	94	20	22	50	39	70	50	10	51	61	48	72	21	55	69	85
56	Endogenous	Cd68	NM_009853.1	139	161	31	76	124	90	173	285	51	147	117	141	45	15	38	25	90	69	28	25	44	305	325	161	91	83	96
57	Endogenous	Cebpd	NM_007679.4	15	8	7	16	13	11	21	17	5	15	7	27	2	7	9	7	6	14	2	6	15	32	28	11	19	10	21
58	Endogenous	Cfb	NM_008198.2	40	32	12	13	27	31	42	47	9	23	23	29	9	3	6	9	23	13	3	14	17	38	44	16	17	16	16
59	Endogenous	Cfl1	NM_007687.5	3604	3107	959	3146	4498	4188	4890	4585	1028	4371	3520	5168	880	1271	2764	2390	3455	3191	720	3025	2840	3767	4913	1830	4828	4745	4813
60	Endogenous	Chi3l3_(YM1)	NM_009892.2	7	11	1	3	10	4	11	3	4	6	8	6	1	1	3	62	2	12	3	4	6	14	9	2	7	7	6
61	Endogenous	Clu/ApoJ	NM_013492.2	13078	10204	3019	8675	12181	11731	16679	15837	3482	11890	9694	14146	2847	3456	7537	6015	8656	7519	1784	7719	6790	14973	17554	7345	12931	12718	11379
