Names	Tg_CTRL vs. Tg_IL10	Tg_CTRL vs. Tg_OLD	Tg_CTRL vs. WT_CTRL	Tg_CTRL vs. WT_IL10	Tg_CTRL vs. WT_OLD	Tg_IL10 vs. Tg_OLD	Tg_IL10 vs. WT_CTRL	Tg_IL10 vs. WT_IL10	Tg_IL10 vs. WT_OLD	Tg_OLD vs. WT_CTRL	Tg_OLD vs. WT_IL10	Tg_OLD vs. WT_OLD	WT_CTRL vs. WT_IL10	WT_CTRL vs. WT_OLD	WT_IL10 vs. WT_OLD
NM_013454.3	   -0.4745	  -0.4845	    0.23263	 -0.17942	 0.043833	     -0.01	    0.70713	   0.29508	   0.51833	  0.71713	   0.30508	   0.52833	 -0.41205	  -0.1888	  0.22325
NM_009598.2	    -0.038	 -0.33267	    0.10133	 -0.14617	 -0.44333	  -0.29467	    0.13933	  -0.10817	  -0.40533	    0.434	    0.1865	  -0.11067	  -0.2475	 -0.54467	 -0.29717
NM_007399.3	 -0.053667	-0.073167	 -0.0061667	-0.071417	-0.021167	   -0.0195	     0.0475	  -0.01775	    0.0325	    0.067	   0.00175	     0.052	 -0.06525	   -0.015	  0.05025
NM_001277266.1	  -0.29517	   -0.265	  -0.013467	 -0.25442	-0.025333	  0.030167	     0.2817	   0.04075	   0.26983	  0.25153	  0.010583	   0.23967	 -0.24095	-0.011867	  0.22908
NM_009662.2	  -0.35267	  -1.0542	    0.98277	  0.56942	 -0.55783	   -0.7015	     1.3354	   0.92208	  -0.20517	   2.0369	    1.6236	   0.49633	 -0.41335	  -1.5406	  -1.1273
NM_009663.1	   -0.8055	-0.055667	    0.82633	 -0.52867	  0.62167	   0.74983	     1.6318	   0.27683	    1.4272	    0.882	    -0.473	   0.67733	   -1.355	 -0.20467	   1.1503
NM_001198823.1	 0.0083333	 -0.27667	    0.84867	   1.0742	     0.62	    -0.285	    0.84033	    1.0658	   0.61167	   1.1253	    1.3508	   0.89667	   0.2255	 -0.22867	 -0.45417
NM_000484.3	      0.05	-0.023333	     2.7293	   3.3383	   2.9667	 -0.073333	     2.6793	    3.2883	    2.9167	   2.7527	    3.3617	      2.99	    0.609	  0.23733	 -0.37167
NM_007482.3	    -0.001	    0.274	    -0.9722	    0.274	    0.274	     0.275	    -0.9712	     0.275	     0.275	  -1.2462	         0	         0	   1.2462	   1.2462	        0
NM_012019.2	  0.084333	  0.41817	    -0.0905	 -0.09725	   0.2125	   0.33383	   -0.17483	  -0.18158	   0.12817	 -0.50867	  -0.51542	  -0.20567	 -0.00675	    0.303	  0.30975
NM_000041.2	         0	        0	          0	        0	        0	         0	          0	         0	         0	        0	         0	         0	        0	        0	        0
NM_009696.2	    -0.775	 -0.32833	     -0.037	  -0.6225	    0.065	   0.44667	      0.738	    0.1525	      0.84	  0.29133	  -0.29417	   0.39333	  -0.5855	    0.102	   0.6875
NM_009700.2	  -0.32583	 -0.71233	    -0.0736	    -0.16	  0.17967	   -0.3865	    0.25223	   0.16583	    0.5055	  0.63873	   0.55233	     0.892	  -0.0864	  0.25327	  0.33967
NM_018790.2	    0.6315	  -1.2168	   0.057233	  0.72433	  -1.9932	   -1.8483	   -0.57427	  0.092833	   -2.6247	   1.2741	    1.9412	  -0.77633	   0.6671	  -2.0504	  -2.7175
NM_001159598.1	     0.302	-0.043833	     0.4165	  0.50925	  -0.0345	  -0.34583	     0.1145	   0.20725	   -0.3365	  0.46033	   0.55308	 0.0093333	  0.09275	   -0.451	 -0.54375
NM_009735.3	   -1.4433	   -1.165	  -0.012333	  -1.4558	  0.21167	   0.27833	      1.431	   -0.0125	     1.655	   1.1527	  -0.29083	    1.3767	  -1.4435	    0.224	   1.6675
NM_011792.4	    0.0525	 -0.10633	   0.075333	  0.17058	 -0.13967	  -0.15883	   0.022833	   0.11808	  -0.19217	  0.18167	   0.27692	 -0.033333	  0.09525	   -0.215	 -0.31025
NM_007540.4	  -0.25333	  0.30533	   -0.32447	 0.018333	-0.054333	   0.55867	  -0.071133	   0.27167	     0.199	  -0.6298	    -0.287	  -0.35967	   0.3428	  0.27013	-0.072667
NM_007567.2	   -0.0165	 -0.77867	    0.26413	  0.53033	 -0.81067	  -0.76217	    0.28063	   0.54683	  -0.79417	   1.0428	     1.309	    -0.032	   0.2662	  -1.0748	   -1.341
NM_007572.2	   -1.5037	  -1.2567	    0.64953	  -1.4579	  0.31633	     0.247	     2.1532	   0.04575	      1.82	   1.9062	  -0.20125	     1.573	  -2.1074	  -0.3332	   1.7743
NM_009777.2	   -1.6722	  -1.0222	    0.37657	  -1.6813	  0.37417	      0.65	     2.0487	-0.0091667	    2.0463	   1.3987	  -0.65917	    1.3963	  -2.0579	  -0.0024	   2.0555
NM_023143.3	   -1.8478	 -0.82383	   -0.32417	 -0.88992	  -1.0062	     1.024	     1.5237	   0.95792	   0.84167	  0.49967	 -0.066083	  -0.18233	 -0.56575	   -0.682	 -0.11625
NM_144938.2	   -1.5858	  -1.1523	    -0.2138	   -1.147	   -0.547	   0.43353	      1.372	   0.43883	    1.0388	   0.9385	    0.0053	    0.6053	  -0.9332	  -0.3332	      0.6
NM_009778.2	    -2.254	  -3.2524	   -0.93295	  -1.6959	 -0.45668	  -0.99835	     1.3211	   0.55812	    1.7973	   2.3194	    1.5565	    2.7957	 -0.76293	  0.47627	   1.2392
NM_009779.2	   -1.5805	  -1.3342	      2.434	  -1.0137	  0.96483	   0.24633	     4.0145	   0.56683	    2.5453	   3.7681	    0.3205	     2.299	  -3.4476	  -1.4691	   1.9785
NM_007577.4	   -4.4287	  -2.9452	    0.04245	  -3.7935	 -0.67088	    1.4835	     4.4712	   0.63517	    3.7578	   2.9877	  -0.84833	    2.2743	   -3.836	 -0.71333	   3.1227
NM_001037747.1	   -1.1248	  -1.3073	  -0.082733	  -1.2056	   -0.702	   -0.1825	     1.0421	  -0.08075	   0.42283	   1.2246	   0.10175	   0.60533	  -1.1228	 -0.61927	  0.50358
NM_009807.2	  -0.12017	  -0.3265	   -0.37483	 -0.57533	 -0.11117	  -0.20633	   -0.25467	  -0.45517	     0.009	-0.048333	  -0.24883	   0.21533	  -0.2005	  0.26367	  0.46417
NM_009812.2	    -0.274	   -0.551	    0.65953	 -0.13242	    0.708	    -0.277	    0.93353	   0.14158	     0.982	   1.2105	   0.41858	     1.259	 -0.79195	 0.048467	  0.84042
NM_011333.3	   -3.6823	  -1.4148	   -0.46183	  -4.6991	 -0.29347	    2.2675	     3.2205	   -1.0167	    3.3889	    0.953	   -3.2842	    1.1214	  -4.2372	  0.16837	   4.4056
NM_013653.3	   -5.3601	 -0.76007	   -0.41713	    -5.18	  0.27127	       4.6	     4.9429	   0.18008	    5.6313	  0.34293	   -4.4199	    1.0313	  -4.7629	   0.6884	   5.4512
NM_007631.2	  -0.14117	 -0.61633	     1.0449	 0.086417	   -0.562	  -0.47517	      1.186	   0.22758	  -0.42083	   1.6612	   0.70275	  0.054333	 -0.95845	  -1.6069	 -0.64842
NM_009841.3	   -1.0039	  -2.6958	    0.34397	  0.53517	  0.89903	    -1.692	     1.3478	     1.539	    1.9029	   3.0398	     3.231	    3.5949	   0.1912	  0.55507	  0.36387
NM_001111058.1	  -0.91417	  -1.6387	     1.6661	 -0.22408	    0.035	   -0.7245	     2.5802	   0.69008	   0.94917	   3.3047	    1.4146	    1.6737	  -1.8901	  -1.6311	  0.25908
NM_001159555.1	   0.97933	   -0.954	   -0.69387	 -0.50567	   -0.083	   -1.9333	    -1.6732	    -1.485	   -1.0623	  0.26013	   0.44833	     0.871	   0.1882	  0.61087	  0.42267
NM_009848.3	     0.322	  0.14317	   0.027433	  0.13358	  0.49283	  -0.17883	   -0.29457	  -0.18842	   0.17083	 -0.11573	-0.0095833	   0.34967	  0.10615	   0.4654	  0.35925
NM_001082960.1	   -1.5948	  -1.3558	     1.3938	  -1.6361	  -0.0935	     0.239	     2.9886	  -0.04125	    1.5013	   2.7496	  -0.28025	    1.2623	  -3.0298	  -1.4873	   1.5426
NM_021334.2	         0	  -2.5237	          0	        0	        0	   -2.5237	          0	         0	         0	   2.5237	    2.5237	    2.5237	        0	        0	        0
NM_205769.1	   0.39583	  0.63533	   -0.19873	 -0.22933	    0.185	    0.2395	   -0.59457	  -0.62517	  -0.21083	 -0.83407	  -0.86467	  -0.45033	  -0.0306	  0.38373	  0.41433
NM_007762.4	   0.89017	    0.041	     0.2252	    0.599	 -0.30667	  -0.84917	   -0.66497	  -0.29117	   -1.1968	   0.1842	     0.558	  -0.34767	   0.3738	 -0.53187	 -0.90567
NM_009987.3	  -0.37017	 -0.62783	     0.5699	   -0.341	  0.57717	  -0.25767	    0.94007	  0.029167	   0.94733	   1.1977	   0.28683	     1.205	  -0.9109	0.0072667	  0.91817
NM_007722.3	  -0.26083	  0.23633	     0.4678	 -0.24575	    0.143	   0.49717	    0.72863	  0.015083	   0.40383	  0.23147	  -0.48208	 -0.093333	 -0.71355	  -0.3248	  0.38875
NM_009788.4	 -0.012333	 0.020833	   0.033767	  0.15967	  0.18617	  0.033167	     0.0461	     0.172	    0.1985	 0.012933	   0.13883	   0.16533	   0.1259	   0.1524	   0.0265
NM_009804.2	    -0.091	 -0.11367	   0.039933	 0.057333	 0.080333	 -0.022667	    0.13093	   0.14833	   0.17133	   0.1536	     0.171	     0.194	   0.0174	   0.0404	    0.023
NM_011330.3	         0	        0	          0	        0	        0	         0	          0	         0	         0	        0	         0	         0	        0	        0	        0
NM_011332.3	    -0.096	  -0.6065	     2.0426	   1.4876	 -0.32917	   -0.5105	     2.1386	    1.5836	  -0.23317	   2.6491	    2.0941	   0.27733	 -0.55505	  -2.3718	  -1.8168
