Names	Tg_CTRL vs. Tg_IL10	Tg_CTRL vs. Tg_OLD	Tg_CTRL vs. WT_CTRL	Tg_CTRL vs. WT_IL10	Tg_CTRL vs. WT_OLD	Tg_IL10 vs. Tg_OLD	Tg_IL10 vs. WT_CTRL	Tg_IL10 vs. WT_IL10	Tg_IL10 vs. WT_OLD	Tg_OLD vs. WT_CTRL	Tg_OLD vs. WT_IL10	Tg_OLD vs. WT_OLD	WT_CTRL vs. WT_IL10	WT_CTRL vs. WT_OLD	WT_IL10 vs. WT_OLD
NM_013454.3	   -0.4745	  -0.4845	    0.23263	 -0.17942	0	0	    0.70713	0	   0.51833	  0.71713	0	   0.52833	0	  -0.1888	  0.22325
NM_009598.2	0	 -0.33267	0	 -0.14617	 -0.44333	  -0.29467	0	0	  -0.40533	    0.434	0	0	0	0	 -0.29717
NM_007399.3	 -0.053667	-0.073167	0	-0.071417	0	0	0	0	0	    0.067	0	0	0	0	  0.05025
NM_001277266.1	  -0.29517	   -0.265	0	 -0.25442	0	0	     0.2817	0	   0.26983	  0.25153	0	0	0	0	  0.22908
NM_009662.2	0	  -1.0542	0	0	0	0	     1.3354	0	0	   2.0369	0	0	0	  -1.5406	  -1.1273
NM_009663.1	   -0.8055	0	    0.82633	 -0.52867	0	   0.74983	     1.6318	0	    1.4272	    0.882	0	0	   -1.355	0	   1.1503
NM_001198823.1	0	 -0.27667	    0.84867	   1.0742	     0.62	    -0.285	    0.84033	    1.0658	   0.61167	   1.1253	    1.3508	   0.89667	0	0	 -0.45417
NM_000484.3	      0.05	-0.023333	     2.7293	   3.3383	   2.9667	 -0.073333	     2.6793	    3.2883	    2.9167	   2.7527	    3.3617	      2.99	0	0	 -0.37167
NM_007482.3	0	    0.274	0	    0.274	0	0	    -0.9712	0	0	  -1.2462	0	0	0	0	0
NM_012019.2	0	  0.41817	0	 -0.09725	0	   0.33383	   -0.17483	  -0.18158	0	 -0.50867	  -0.51542	0	0	    0.303	  0.30975
NM_000041.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_009696.2	    -0.775	 -0.32833	0	  -0.6225	0	   0.44667	      0.738	0	      0.84	  0.29133	  -0.29417	   0.39333	  -0.5855	0	   0.6875
NM_009700.2	  -0.32583	 -0.71233	0	    -0.16	0	   -0.3865	    0.25223	0	    0.5055	  0.63873	   0.55233	     0.892	0	  0.25327	  0.33967
NM_018790.2	    0.6315	  -1.2168	0	  0.72433	  -1.9932	   -1.8483	   -0.57427	0	   -2.6247	   1.2741	    1.9412	0	0	  -2.0504	  -2.7175
NM_001159598.1	     0.302	0	     0.4165	  0.50925	0	0	0	0	   -0.3365	  0.46033	   0.55308	0	0	   -0.451	 -0.54375
NM_009735.3	   -1.4433	   -1.165	0	  -1.4558	0	0	      1.431	0	     1.655	   1.1527	0	    1.3767	  -1.4435	0	   1.6675
NM_011792.4	0	 -0.10633	0	  0.17058	0	  -0.15883	0	0	  -0.19217	  0.18167	   0.27692	0	0	   -0.215	 -0.31025
NM_007540.4	  -0.25333	  0.30533	   -0.32447	0	0	   0.55867	0	0	0	  -0.6298	    -0.287	0	0	0	-0.072667
NM_007567.2	0	 -0.77867	    0.26413	  0.53033	 -0.81067	  -0.76217	    0.28063	   0.54683	  -0.79417	   1.0428	     1.309	0	0	  -1.0748	   -1.341
NM_007572.2	   -1.5037	  -1.2567	    0.64953	  -1.4579	  0.31633	0	     2.1532	0	      1.82	   1.9062	0	     1.573	  -2.1074	0	   1.7743
NM_009777.2	   -1.6722	  -1.0222	0	  -1.6813	0	      0.65	     2.0487	0	    2.0463	   1.3987	  -0.65917	    1.3963	  -2.0579	0	   2.0555
NM_023143.3	   -1.8478	 -0.82383	0	 -0.88992	  -1.0062	     1.024	     1.5237	0	   0.84167	0	0	0	0	0	 -0.11625
NM_144938.2	   -1.5858	  -1.1523	0	   -1.147	0	0	      1.372	0	0	0	0	0	0	0	      0.6
NM_009778.2	    -2.254	  -3.2524	0	  -1.6959	0	0	0	0	0	   2.3194	    1.5565	    2.7957	0	0	   1.2392
NM_009779.2	   -1.5805	  -1.3342	      2.434	  -1.0137	  0.96483	0	     4.0145	0	    2.5453	   3.7681	0	     2.299	  -3.4476	0	   1.9785
NM_007577.4	   -4.4287	  -2.9452	0	  -3.7935	0	    1.4835	     4.4712	0	    3.7578	   2.9877	0	0	   -3.836	0	   3.1227
NM_001037747.1	   -1.1248	  -1.3073	0	  -1.2056	   -0.702	0	     1.0421	0	   0.42283	   1.2246	0	   0.60533	  -1.1228	 -0.61927	  0.50358
NM_009807.2	0	  -0.3265	0	 -0.57533	0	0	0	0	0	0	0	0	0	0	  0.46417
NM_009812.2	    -0.274	   -0.551	0	0	0	0	0	0	     0.982	   1.2105	0	0	0	0	  0.84042
NM_011333.3	   -3.6823	  -1.4148	0	  -4.6991	0	    2.2675	     3.2205	0	    3.3889	0	   -3.2842	0	  -4.2372	0	   4.4056
NM_013653.3	   -5.3601	0	0	    -5.18	0	       4.6	     4.9429	0	    5.6313	0	   -4.4199	0	  -4.7629	0	   5.4512
NM_007631.2	0	 -0.61633	     1.0449	0	0	  -0.47517	      1.186	0	  -0.42083	   1.6612	0	0	0	  -1.6069	 -0.64842
NM_009841.3	   -1.0039	  -2.6958	0	  0.53517	0	    -1.692	0	0	    1.9029	   3.0398	     3.231	    3.5949	0	0	  0.36387
NM_001111058.1	  -0.91417	  -1.6387	     1.6661	0	0	0	     2.5802	0	0	   3.3047	0	    1.6737	0	0	  0.25908
NM_001159555.1	   0.97933	   -0.954	   -0.69387	 -0.50567	0	   -1.9333	    -1.6732	0	0	0	0	     0.871	0	  0.61087	  0.42267
NM_009848.3	     0.322	0	0	  0.13358	0	0	   -0.29457	0	0	0	0	0	0	0	  0.35925
NM_001082960.1	   -1.5948	  -1.3558	     1.3938	  -1.6361	0	0	     2.9886	0	    1.5013	   2.7496	  -0.28025	    1.2623	  -3.0298	  -1.4873	   1.5426
NM_021334.2	0	  -2.5237	0	0	0	   -2.5237	0	0	0	   2.5237	    2.5237	0	0	0	0
NM_205769.1	0	  0.63533	0	 -0.22933	0	0	   -0.59457	0	0	 -0.83407	  -0.86467	0	0	0	  0.41433
NM_007762.4	   0.89017	0	0	    0.599	 -0.30667	  -0.84917	   -0.66497	0	   -1.1968	0	0	0	0	 -0.53187	 -0.90567
NM_009987.3	  -0.37017	 -0.62783	     0.5699	   -0.341	  0.57717	  -0.25767	    0.94007	0	   0.94733	   1.1977	   0.28683	     1.205	  -0.9109	0	  0.91817
NM_007722.3	  -0.26083	  0.23633	0	 -0.24575	0	   0.49717	    0.72863	0	   0.40383	0	  -0.48208	0	0	0	  0.38875
NM_009788.4	0	0	0	  0.15967	0	0	0	0	    0.1985	0	0	0	0	0	   0.0265
NM_009804.2	    -0.091	 -0.11367	0	 0.057333	0	0	    0.13093	0	   0.17133	   0.1536	     0.171	0	0	0	    0.023
NM_011330.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_011332.3	0	  -0.6065	     2.0426	   1.4876	0	0	     2.1386	0	0	   2.6491	    2.0941	0	0	  -2.3718	  -1.8168
NM_011888.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 -0.61883
NM_011335.2	0	   1.0288	     1.0288	   1.0288	0	0	0	0	0	0	0	0	0	0	0
NM_011337.2	    2.1453	   -1.462	     2.1453	  0.82233	   2.1453	   -3.6073	0	0	0	   3.6073	    2.2843	    3.6073	0	0	    1.323
NM_013652.2	0	  -1.7566	0	  0.30448	0	0	0	0	0	   2.2217	0	0	0	0	   0.1606
NM_013654.3	   -1.1158	  0.43925	0	   -1.795	0	     1.555	     1.1144	0	     1.555	0	   -2.2343	0	0	0	   2.2343
NM_021443.2	   -7.9403	   -2.145	0	  -8.1085	0	    5.7953	     7.0307	0	    7.3933	0	   -5.9635	0	  -7.1989	0	   7.5615
NM_009912.4	  -0.77058	0	0	 -0.73677	0	   0.77058	0	0	   0.77058	0	0	0	0	0	  0.73677
NM_009916.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_010016.2	0	   0.6395	0	0	0	   0.47067	   -0.35447	0	0	 -0.82513	  -0.76633	0	0	0	  0.36767
NM_009853.1	  -0.68217	  -1.3995	     1.6289	 -0.30725	0	  -0.71733	     2.3111	0	    1.3707	   3.0284	    1.0922	     2.088	  -1.9362	  -0.9404	  0.99575
NM_007679.4	0	  -1.6703	0	   1.5851	0	    -1.514	0	    1.7414	0	   2.2813	    3.2554	0	0	0	  -1.8531
NM_008198.2	   -1.1432	    -0.81	     2.8569	   1.3707	0	   0.33317	          4	0	    2.8027	   3.6669	    2.1807	    2.4695	0	0	  0.28887
NM_007687.5	0	  0.17667	   -0.10333	 -0.13833	0	      0.18	       -0.1	    -0.135	0	    -0.28	    -0.315	0	0	0	    0.225
NM_009892.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_013492.2	  -0.30833	   -0.315	0	   -0.075	0	0	    0.29533	0	   0.48667	    0.302	      0.24	   0.49333	0	  0.19133	  0.25333
NM_080454.3	0	 -0.34033	0	0	 -0.88733	0	0	0	  -0.94767	  0.59067	   0.40642	0	0	  -1.1377	 -0.95342
NM_001037726.1	0	 -0.27483	0	  0.12567	0	   -0.3445	0	0	0	    0.319	    0.4005	0	0	0	  -0.1965
NM_007768.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001113530.1	  -0.39917	  -1.0448	    0.30963	0	0	  -0.64567	     0.7088	0	0	   1.3545	    1.0287	   0.74567	0	  -0.6088	   -0.283
NM_001037859.2	0	  -1.0172	     0.7665	  0.12325	0	   -0.9095	    0.87417	0	0	   1.7837	    1.1404	     0.987	 -0.64325	 -0.79667	 -0.15342
NM_007798.2	  -0.27833	 -0.60783	    0.29117	0	 -0.25617	   -0.3295	     0.5695	0	0	    0.899	   0.64425	   0.35167	0	 -0.54733	 -0.29258
NM_009982.4	   -1.9675	 -0.78367	0	  -1.7517	0	    1.1838	     2.0379	0	    2.3825	  0.85407	  -0.96808	    1.1987	  -1.8221	0	   2.1667
NM_009983.2	  -0.30167	 -0.66833	    0.52167	 -0.30583	    0.595	  -0.36667	    0.82333	0	   0.89667	     1.19	    0.3625	    1.2633	  -0.8275	0	  0.90083
NM_021274.1	   -3.3388	  -4.1757	0	  -3.0298	0	0	     3.0366	0	    3.2204	   3.8735	0	    4.0573	0	0	   2.9114
NM_009141.2	0	  -2.2867	0	   2.0537	0	    -3.419	0	0	0	   2.8363	    4.3404	    2.2203	0	0	  -2.1201
NM_011339.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008599.4	   -4.9668	  -1.8469	0	  -5.3036	0	    3.1198	     2.8242	0	    5.0742	0	   -3.4567	0	   -3.161	0	    5.411
NM_009911.3	   -1.5938	0	0	   2.2417	0	    1.4158	     1.7269	0	    2.0625	0	    2.4197	0	0	0	   -1.773
NM_033374.3	   -1.4801	  -2.5756	0	 -0.80153	0	0	     2.0364	0	0	   3.1319	    1.7741	0	0	0	0
NM_001025947.1	0	  0.15433	  -0.084667	0	0	   0.17267	  -0.066333	0	  0.081667	   -0.239	   -0.1835	0	0	    0.148	   0.0925
NM_199307.2	0	 -0.24317	0	  0.16533	0	  -0.18783	    0.20597	0	0	   0.3938	    0.4085	0	0	  -0.4178	  -0.4325
NM_177942.1	0	0	0	   0.1195	0	0	0	0	0	0	0	0	0	0	 -0.19733
NM_000146.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_010240.2	     -0.24	   -0.876	     0.2078	0	   -0.516	    -0.636	     0.4478	0	    -0.276	   1.0838	     0.875	      0.36	0	  -0.7238	   -0.515
NM_010189.3	0	  0.17467	0	 -0.53517	0	0	0	0	0	 -0.28953	  -0.70983	0	0	0	  0.75717
NM_010185.4	    -1.447	   -1.233	0	   -1.487	0	0	     2.3128	0	     1.605	   2.0988	0	     1.391	  -2.3528	0	    1.645
NM_010186.5	    -1.784	  -0.4375	0	  -1.9672	0	    1.3465	     3.3524	0	    2.7242	   2.0059	   -1.5297	0	  -3.5356	0	   2.9073
NM_010188.5	   -1.0965	 -0.61083	0	   -1.146	0	   0.48567	     1.5218	0	     1.693	   1.0361	  -0.53517	    1.2073	  -1.5713	0	   1.7425
NM_001077189.1	   -2.2167	   -0.943	0	  -2.2833	0	    1.2737	     2.4267	0	     2.623	   1.1531	   -1.3403	    1.3493	  -2.4934	0	   2.6897
NM_144559.1	   -6.3431	  -2.3151	    -2.2059	  -6.4993	0	     4.028	     4.1372	0	    6.5111	0	   -4.1843	    2.4831	  -4.2935	   2.3739	   6.6674
NM_030707.3	   -1.7043	  -1.2468	0	   -0.453	0	0	     2.5926	    1.2513	    1.5715	   2.1351	0	0	0	0	  0.32017
NM_022009.1	0	   -0.421	      0.209	0	 -0.38567	    -0.457	      0.173	0	  -0.42167	     0.63	    0.4655	0	0	 -0.59467	 -0.43017
NM_010234.2	     1.315	  -1.0435	0	  0.54192	  -2.0792	   -2.3585	    -1.1914	0	   -3.3942	   1.1671	    1.5854	0	0	  -2.2027	  -2.6211
NM_001077411.1	0	  -0.5965	0	0	 -0.57517	    -0.425	0	0	  -0.40367	   0.4652	   0.70275	0	0	 -0.44387	 -0.68142
NM_001131020.1	   -0.8495	  -1.6045	    0.66337	0	0	    -0.755	     1.5129	0	     1.652	   2.2679	    1.5397	     2.407	0	0	  0.86733
NM_008170.2	   0.17167	 -0.35633	0	  0.16858	   -0.393	    -0.528	0	0	  -0.56467	  0.48647	   0.52492	0	0	 -0.52313	 -0.56158
NM_002087.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008175.3	  -0.27667	  -0.6955	     0.4343	 -0.17775	0	  -0.41883	    0.71097	0	   0.41383	   1.1298	   0.51775	   0.83267	 -0.61205	 -0.29713	  0.31492
NM_001081081.2	0	    0.195	0	0	0	   0.12333	   -0.11933	0	0	 -0.24267	  -0.22417	     -0.12	0	  0.12267	  0.10417
NM_010368.1	   -0.5535	 -0.58367	     0.8244	     -0.2	    0.528	0	     1.3779	0	    1.0815	   1.4081	   0.38367	    1.1117	  -1.0244	0	    0.728
NM_010382.2	   -5.6153	  -1.8893	0	  -5.3895	0	     3.726	     4.4795	0	     4.417	0	   -3.5002	0	  -4.2537	0	   4.1912
NM_010381.2	   -5.5517	  -3.2003	0	  -4.8047	0	    2.3513	     4.8432	0	    4.9853	   2.4918	0	0	0	0	   4.2383
NM_010442.2	  -0.83067	  -1.6327	0	0	0	    -0.802	      1.228	0	0	     2.03	    1.2722	    1.3693	0	0	0
NM_001172117.1	   -3.0141	  -1.0726	0	0	0	    1.9415	     3.7526	0	    3.4427	   1.8111	0	0	0	0	  0.89867
NM_013560.2	0	 -0.63417	0	 -0.16875	  -0.4395	  -0.59583	0	0	  -0.40117	0	   0.46542	0	0	0	 -0.27075
NM_024441.2	0	   1.1567	     1.4887	   1.7003	0	0	    0.71437	0	0	0	0	0	0	0	  -1.6394
NM_031156.2	0	    0.223	   -0.19107	 -0.10392	0	0	    -0.2069	0	0	 -0.41407	  -0.32692	0	0	   0.2504	  0.16325
NM_001164477.1	    -0.589	0	0	  -1.1958	0	0	    0.57927	0	0	0	   -1.2058	0	  -1.1861	0	   1.4505
NM_008337.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001111274.1	0	  -1.4747	0	  0.65717	0	   -2.0098	0	0	0	   2.2029	    2.1318	0	0	0	  -1.1575
NM_008342.3	    0.4725	 -0.21833	   -0.24713	0	 -0.44033	  -0.69083	   -0.71963	0	  -0.91283	0	    0.1965	0	0	  -0.1932	  -0.4185
NM_008343.2	   0.27883	 -0.20233	0	  0.17908	0	  -0.48117	0	0	  -0.41983	  0.44507	   0.38142	0	0	0	 -0.32008
NM_010517.3	0	  -0.1515	0	0	0	0	0	0	0	  0.17947	   0.11367	0	0	  -0.3198	   -0.254
NM_010518.2	0	 -0.61333	    0.20073	  0.20658	0	   -0.4625	    0.35157	0	0	  0.81407	   0.81992	0	0	0	 -0.17825
NM_010548.1	   -9.8607	0	0	  -9.7005	0	    9.8607	     9.8607	0	    9.8607	0	   -9.7005	0	  -9.7005	0	   9.7005
NM_008361.3	   -2.3895	0	0	  -2.6178	0	    2.7178	     2.5781	0	    3.0397	0	   -2.9461	0	  -2.8064	0	    3.268
NM_021283.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_031168.1	0	0	0	  0.42613	0	0	0	0	0	0	0	0	0	0	0
NM_008410.2	     -0.14	   -0.335	      0.157	0	 -0.19833	    -0.195	      0.297	0	 -0.058333	    0.492	     0.295	   0.13667	   -0.197	 -0.35533	 -0.15833
NM_021999.2	0	  0.22717	0	  0.22717	0	0	0	0	0	0	0	0	0	0	0
NM_008349.5	   -0.5535	0	0	 -0.79117	0	    0.5575	    0.53243	0	   0.93983	0	  -0.79517	0	  -0.7701	0	   1.1775
NM_008351.2	0	     1.27	     1.6066	   1.5135	0	0	     1.4394	0	0	0	0	0	0	0	  -1.7613
NM_010554.4	0	  0.10742	0	 -0.43683	0	0	0	0	0	0	0	0	0	0	  0.54425
NM_001123382.1	  -0.31633	 -0.72617	0	0	0	  -0.40983	0	0	0	  0.36633	   0.77258	0	0	0	 -0.36192
NM_031167.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_010559.2	   0.41917	 -0.63383	    0.86403	0	  0.27217	    -1.053	    0.44487	0	0	   1.4979	0	     0.906	0	0	  0.42408
NM_008371.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_009909.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_008404.4	   -1.1905	   -1.633	      1.396	0	0	   -0.4425	     2.5865	0	    1.2955	    3.029	0	     1.738	0	   -1.291	0
NM_001190830.1	   -1.3815	  -2.1663	0	0	  -1.0997	0	     2.6249	0	0	   3.4097	0	0	0	  -2.3431	 -0.40017
NM_010717.2	   0.13467	  -0.4135	0	  0.19108	 -0.35317	  -0.54817	0	0	  -0.48783	  0.58793	   0.60458	0	0	  -0.5276	 -0.54425
