Names	(Tg_IL10vs.Tg_CTRL)-(WT_IL10vs.WT_CTRL)	(Tg_IL10vs.Tg_CTRL)-(Tg_OLDvs.Tg_CTRL)
ABCA1	   0.4745	       0
ACE	        0	       0
ADAM10	 0.053667	       0
ADAM17	  0.29517	       0
ALOX5	        0	       0
ALOX5AP	        0	  0.8055
	        0	       0
APP	    -0.05	       0
ARG1	        0	       0
AIFM1	        0	       0
	        0	       0
APOE	        0	       0
AQP4	  0.32583	       0
ARC	  -0.6315	       0
AXIN1	   -0.302	  -0.302
B2M	        0	       0
BACE1	        0	       0
BDNF	  0.25333	       0
BSN	        0	       0
C1QA	        0	       0
C1QB	        0	       0
C1R	   1.8478	       0
C1S	   1.5858	       0
C3	    2.254	       0
C3AR1	        0	       0
C5AR1	        0	       0
CARD9	        0	       0
CASP1	        0	       0
CASP8	    0.274	       0
Ccl2	        0	       0
CCL5	        0	  5.3601
CCND1	        0	       0
CD14	   1.0039	       0
Cd33	  0.91417	       0
CD36	 -0.97933	       0
ENTPD1	   -0.322	  -0.322
ITGAM	        0	       0
ITGAX	        0	       0
CRH	        0	       0
CRHR1	 -0.89017	-0.89017
CX3CR1	        0	       0
ACKR3	  0.26083	       0
CALB1	        0	       0
CAT	    0.091	       0
CCL11	        0	       0
CCL17	        0	       0
CCL19	        0	       0
CCL21	        0	       0
CCL3L1/CCL3L3	  -2.1453	       0
CCL4	        0	       0
CCL7	   1.1158	       0
Ccl8	        0	       0
CCR1	  0.77058	 0.77058
CCR4	        0	       0
Cd55/Daf2	        0	       0
CD68	        0	       0
CEBPD	        0	       0
CFB	   1.1432	       0
CFL1	        0	       0
Chil3/Chil4	        0	       0
Clu	  0.30833	       0
GJC2	        0	       0
CREB1	        0	       0
CRP	        0	       0
CSF1	  0.39917	       0
CSF1R	        0	       0
CTSB	  0.27833	       0
CTSC	        0	       0
CTSD	        0	       0
CXCL10	   3.3388	       0
CXCL6	        0	       0
Cxcl15	        0	       0
CXCL9	        0	       0
CXCR4	   1.5938	  1.5938
DOCK2	   1.4801	       0
DNM1L	        0	       0
ECE1	        0	       0
ECE2	        0	       0
	        0	       0
FTL	     0.24	       0
FCGRT	        0	       0
FCER1G	        0	       0
FCGR1A	        0	       0
FCGR2A	        0	       0
FCGR2B	        0	       0
FCGR3A	        0	       0
Fcrls	   1.7043	       0
FLII	        0	       0
FOS	   -1.315	       0
GBA	        0	       0
GFAP	   0.8495	       0
GRIN2A	 -0.17167	       0
	        0	       0
GRN	        0	       0
GLS	        0	       0
GUSB	        0	       0
HLA-DRB1	        0	       0
HLA-DRA	   5.5517	       0
HMOX1	  0.83067	       0
HCK	   3.0141	       0
HSPB1	        0	       0
HSPB2	        0	       0
IDE	        0	       0
IFIH1	        0	   0.589
IFNG	        0	       0
IGF1	        0	       0
IGFBP2	  -0.4725	       0
IGFBP3	 -0.27883	       0
IGFBP4	        0	       0
IGFBP5	        0	       0
IL10	        0	  9.8607
IL1B	        0	  2.3895
IL4	        0	       0
IL6	        0	       0
ITM2B	        0	       0
	        0	       0
IL10RB	        0	  0.5535
IL12A	        0	       0
IL1A	        0	       0
IL1R1	  0.31633	       0
IL1RN	        0	       0
IL6R	 -0.41917	       0
IL7	        0	       0
CXCR2	        0	       0
ITGB2	   1.1905	       0
JAK3	   1.3815	       0
LIMK1	 -0.13467	       0
LRP1	        0	       0
LRRK2	  -0.3585	       0
	        0	       0
LTBR	        0	       0
LY86	        0	       0
LY96	        0	       0
Lyz1/Lyz2	        0	       0
	        0	       0
	  -1.3332	       0
MARCO	        0	       0
MMP11	        0	       0
MMP2	        0	       0
MMP3	        0	       0
MMP9	        0	       0
MAFF	        0	       0
MAFK	        0	       0
MAP2K4	-0.076667	       0
MAP2K6	        0	       0
MAPK8	 -0.15017	       0
	        0	       0
	 -0.19467	       0
MASP2	        0	       0
MBL2	        0	       0
MEF2B	        0	       0
MEF2C	    -0.11	       0
MERTK	  0.20417	       0
MFN1	 -0.26617	-0.26617
MRC1	    1.604	       0
	  0.50917	       0
MS4A6A	        0	       0
MSR1	   2.6956	       0
MYC	        0	       0
MPO	   0.6976	  0.6976
MYL2	   -1.017	  -1.017
NLRP3	  -1.0415	 -1.0415
NPY	    0.512	       0
NCF1	        0	       0
MME	 -0.26367	-0.26367
NOS2	        0	       0
P2RY6	  0.93183	       0
P2RY12	 -0.95067	       0
PPP1R2	    -0.09	   -0.09
DLG4	 -0.20167	       0
PTAFR	        0	       0
PTGDS	 -0.18333	       0
PTGER1	        0	       0
PTGER4	        0	       0
PTGS2	        0	       0
PTPRC	        0	       0
ATP13A2	        0	       0
PRPH	        0	       0
PINK1	        0	       0
PLG	        0	       0
PRKCB	 -0.19333	-0.19333
PTPN6	        0	       0
S100A11	  0.51083	       0
S100A8	   1.2893	  1.2893
S100A9	     1.66	       0
SERPINA1	        0	       0
SERPINA3	   1.0945	       0
	        0	       0
SOD1	        0	       0
STAT3	        0	       0
STAT6	    0.229	       0
SERPING1	   2.1488	       0
SNAP91	        0	       0
SOX10	        0	       0
	        0	       0
	        0	       0
TARDBP	        0	       0
TIMP1	   1.6282	       0
TLR9	        0	       0
TLR8	        0	       0
TNFRSF1A	        0	       0
TNFRSF1B	        0	       0
TNFSF11	        0	       0
Tnfsf9	        0	       0
TNF	        0	       0
TREM1	        0	       0
TREML2	        0	       0
TREML4	        0	       0
TGFB1	  0.52133	       0
TGFB3	        0	       0
TGFBR1	 -0.24567	       0
TLR1	        0	       0
TLR2	    1.694	       0
TLR4	  0.65983	       0
TLR6	        0	       0
TLR7	        0	       0
TF	        0	       0
TREM2	        0	       0
TREML1	        0	       0
TYROBP	        0	       0
TH	 -0.75867	-0.75867
UBC	        0	       0
UBQLN1	 -0.16683	       0
VWF	  0.37467	 0.37467
ZBP1	        0	       0
SNCA	  0.15383	       0
TUBB3	        0	       0
C2	   2.0817	       0
C4A/C4B	        0	       0
CD163	        0	       0
EIF2S1	        0	       0
PPP2CA	   -0.085	       0
SYP	-0.071667	       0
PLAT	  0.31833	       0
EGR1	    -0.97	   -0.97
CLTC	        0	       0
	-0.061667	       0
	        0	       0
	   -0.045	       0
	        0	       0
