"pathway" "overlap" "size" "p-value"
"1" "Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses" "6" "27" "0.0165298675902536"
"2" "Hepatic Fibrosis / Hepatic Stellate Cell Activation" "7" "30" "0.00644352324735731"
"3" "Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis" "11" "39" "3.13271419835803e-05"
"4" "Granulocyte Adhesion and Diapedesis" "5" "31" "0.106582271909115"
"5" "Acute Phase Response Signaling" "12" "30" "8.95066827880221e-08"
"6" "Communication between Innate and Adaptive Immune Cells" "6" "24" "0.00886936483272816"
"7" "Altered T Cell and B Cell Signaling in Rheumatoid Arthritis" "6" "23" "0.00702712795027345"
"8" "Colorectal Cancer Metastasis Signaling" "6" "32" "0.0382793341427556"
"9" "Agranulocyte Adhesion and Diapedesis" "5" "29" "0.0835911030431294"
"10" "LXR/RXR Activation" "7" "24" "0.00150041730290933"
"11" "TREM1 Signaling" "6" "20" "0.00317768120203124"
"12" "Dendritic Cell Maturation" "10" "26" "3.56477803599376e-06"
"13" " " "18" "18" "2.34909673498717e-26"
"14" "T Helper Cell Differentiation" "5" "17" "0.00861815670596836"
"15" "Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis" "11" "25" "1.38436899615821e-07"
"16" "Complement System" "0" "13" "1"
"17" "NF-ë¼B Signaling" "7" "22" "0.000819835260971339"
"18" "Atherosclerosis Signaling" "5" "19" "0.0144706784132651"
"19" "IL-6 Signaling" "12" "18" "2.75727815330058e-11"
"20" "p38 MAPK Signaling" "7" "18" "0.000187689080182107"
"21" "Production of Nitric Oxide and Reactive Oxygen Species in Macrophages" "4" "21" "0.09027634275173"
"22" "IL-12 Signaling and Production in Macrophages" "5" "18" "0.0112805662067019"
"23" "Toll-like Receptor Signaling" "5" "13" "0.00224144141267181"
"24" "Glucocorticoid Receptor Signaling" "9" "22" "7.9134575305689e-06"
"25" "Neuroprotective Role of THOP1 in Alzheimer's Disease" "0" "11" "1"
"26" "Type I Diabetes Mellitus Signaling" "6" "15" "0.000537135988815281"
"27" "Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza" "6" "11" "6.13149957483785e-05"
"28" "Crosstalk between Dendritic Cells and Natural Killer Cells" "2" "14" "0.34415603278614"
"29" "Hepatic Cholestasis" "9" "15" "1.07555731243947e-07"
