"Code.Class"	"Name"	"Accession"	"X20140224_il10_brains_custom2_01.RCC"	"X20140224_il10_brains_custom2_02.RCC"	"X20140224_il10_brains_custom2_03.RCC"	"X20140224_il10_brains_custom2_04.RCC"	"X20140224_il10_brains_custom2_05.RCC"	"X20140224_il10_brains_custom2_06.RCC"	"X20140224_il10_brains_custom2_07.RCC"	"X20140224_il10_brains_custom2_08.RCC"	"X20140224_il10_brains_custom2_09.RCC"	"X20140224_il10_brains_custom2_10.RCC"	"X20140224_il10_brains_custom2_11.RCC"	"X20140224_il10_brains_custom2_12.RCC"	"X20140319_il1ntg_c.2exp3_03.RCC"	"X20140319_il1ntg_c.2exp3_04.RCC"	"X20140319_il1ntg_c.2exp3_05.RCC"	"X20140319_il1ntg_c.2exp3_06.RCC"	"X20140319_il1ntg_c.2exp3_07.RCC"	"X20140319_il1ntg_c.2exp3_08.RCC"	"X20140319_il1ntg_c.2exp3_09.RCC"	"X20140319_il1ntg_c.2exp3_11.RCC"	"X20140319_il1ntg_c.2exp3_12.RCC"	"X20140321_old_mice_bri42.crnd8_07.RCC"	"X20140321_old_mice_bri42.crnd8_08.RCC"	"X20140321_old_mice_bri42.crnd8_09.RCC"	"X20140321_old_mice_bri42.crnd8_10.RCC"	"X20140321_old_mice_bri42.crnd8_11.RCC"	"X20140321_old_mice_bri42.crnd8_12.RCC"
"ABCA1"	"Endogenous"	"ABCA1"	"NM_013454.3"	413.683934670709	400.443149439197	434.434918636317	240.255577988	309.650032715184	302.476328228876	423.269578416776	367.26247597079	431.70165404105	367.932885193735	257.602763602684	314.831668238994	464.676277112152	237.255937951065	266.498823022909	253.673296871796	302.958484137684	350.168841650078	255.617808756034	269.097567265002	234.524435742634	413.541591905205	378.790410668941	452.929246702416	292.344982785816	277.344012824963	291.402835629283
"ACE"	"Endogenous"	"ACE"	"NM_009598.2"	112.517510911036	118.363322945792	164.859347172111	134.637234423596	113.031988519206	118.802072069222	134.320371695027	120.743084537463	116.186075264256	129.773908110257	123.525941102797	121.861486393666	203.576611095061	70.2854718300451	89.8142379019754	184.33261411747	122.559954187024	124.033337237544	112.447095340161	121.008571169554	143.125924557569	155.407529463328	146.52483349066	164.896903733962	159.917881209052	176.977236520303	167.089902605688
"ADAM_10"	"Endogenous"	"ADAM_10"	"NM_007399.3"	723.190351703728	804.503441443265	826.544840766071	763.991900199117	748.542745602086	739.386580115029	754.838793129982	790.190239255489	763.152363059096	779.2271712754	698.979748620561	760.749250611307	882.435742739498	769.297423218042	752.694702646472	772.221011382409	755.054800050621	714.563359123126	801.78756734251	756.55717941252	707.412384917538	821.682764379677	761.71474061151	778.81726903244	758.26969337929	756.453341222678	761.961606644979
"ADAM_17/TACE"	"Endogenous"	"ADAM_17/TACE"	"NM_001277266.1"	129.197497457725	159.749552315481	157.857384276937	131.370687715418	149.115449813599	115.675701751611	141.544101863071	175.776465499643	199.048752518768	137.608084988003	124.504604040752	121.861486393666	207.593529033786	141.035669338952	127.406702821323	145.140054299808	142.359792840145	120.518277583463	160.170666478786	133.349320844174	110.010521954284	159.214816519993	140.875130262	168.188701939316	136.834257998424	143.52164441875	116.754604571594
"ALOX5"	"Endogenous"	"ALOX5"	"NM_009662.2"	14.290923469419	11.6304156239625	24.8200892686272	17.0415529292077	9.19998765166683	13.2870738498472	9.34983978787094	18.2151419229906	11.0142156719915	6.77733112964433	13.9156920517942	9.07823822055117	26.8322217911844	16.5153217232761	3.35156858747591	9.47350108482179	4.86091330458025	23.2682938205593	0	3.77144926065712	2.71661751964195	14.5379083667283	32.9030241142585	24.9954800064266	17.1638955643766	11.5929887730022	21.4226007191432
"ALOX5AP"	"Endogenous"	"ALOX5AP"	"NM_009663.1"	17.0709212272006	38.858198104021	31.8220521638014	19.2192507346593	10.6727819902135	12.5054812704445	30.2986572751977	37.0621901977098	23.7623198649933	20.8788495095871	22.7236584933926	16.2494274107492	34.8660576686334	8.02529802220728	8.36389724338892	17.0105318189877	24.6607519577016	31.4700996800813	11.6973340475105	5.00552422811919	11.9889302485616	22.152482480058	13.4429352155377	16.7659844930422	10.4817941086684	8.43680083889339	13.7960404109471
"APP"	"Endogenous"	"APP"	"NM_001198823.1"	7771.41133359935	7681.15218460683	7881.02245765406	7992.85976539581	7720.01474711266	7361.82050539478	7475.07496846105	7596.99019415307	7745.92643477582	8194.27558606199	7732.63028370589	7428.65134491543	3975.46255555734	3763.44578179497	3821.49292222921	3624.23344119078	3425.83303614943	3691.81888612961	3617.47826452133	3987.36544422822	7040.40197876969	9662.20330995546	8901.05385870227	9515.24970604134	4790.00672624616	5188.37243829825	5127.40472705639
"APP-2"	"Endogenous"	"APP-2"	"NM_000484.3"	61265.9815206715	60357.1092818271	59548.5066611443	64827.5059409753	63633.1790156978	60718.8011234843	66866.417291066	63045.0062183769	59818.7450371398	64796.2035277769	63331.4504518891	66534.2445768175	7514.36725957361	6582.13365054981	5881.55999980946	5841.62788318238	5398.11696420757	5480.98425005676	7117.20681468711	6337.044182276	58218.2697779899	65943.043496398	65126.9003903352	63632.4122020573	8189.37397589555	8222.10028056362	8068.20638189679
"ARG1"	"Endogenous"	"ARG1"	"NM_007482.3"	0	0	0	0	0	3.12637031761112	0.681363586218491	3.13750330321528	0	0	0	0.603196450317142	0	8.02529802220728	0	3.44387649748909	0	0	0	0	2.71661751964195	0	0	0	0	0.230712210210524	0
"Aif"	"Endogenous"	"Aif"	"NM_012019.2"	216.304093868215	237.076454558847	217.374068885917	262.032556042516	212.445606371105	275.120587949778	224.616998795574	236.087019978745	224.544960904771	223.000612955434	240.965493657443	228.777397956618	267.847298114653	293.85609595819	241.437179743344	262.717733752795	244.658959214605	251.747171335815	260.920427771437	238.24569307845	242.472132367423	169.113762867321	210.554803415484	161.605105528608	204.870200092908	194.651888951312	221.238480793879
