"Code.Class"	"Name"	"Accession"	"X20140224_il10_brains_custom2_01.RCC"	"X20140224_il10_brains_custom2_02.RCC"	"X20140224_il10_brains_custom2_03.RCC"	"X20140224_il10_brains_custom2_04.RCC"	"X20140224_il10_brains_custom2_05.RCC"	"X20140224_il10_brains_custom2_06.RCC"	"X20140224_il10_brains_custom2_07.RCC"	"X20140224_il10_brains_custom2_08.RCC"	"X20140224_il10_brains_custom2_09.RCC"	"X20140224_il10_brains_custom2_10.RCC"	"X20140224_il10_brains_custom2_11.RCC"	"X20140224_il10_brains_custom2_12.RCC"	"X20140319_il1ntg_c.2exp3_03.RCC"	"X20140319_il1ntg_c.2exp3_04.RCC"	"X20140319_il1ntg_c.2exp3_05.RCC"	"X20140319_il1ntg_c.2exp3_06.RCC"	"X20140319_il1ntg_c.2exp3_07.RCC"	"X20140319_il1ntg_c.2exp3_08.RCC"	"X20140319_il1ntg_c.2exp3_09.RCC"	"X20140319_il1ntg_c.2exp3_11.RCC"	"X20140319_il1ntg_c.2exp3_12.RCC"	"X20140321_old_mice_bri42.crnd8_07.RCC"	"X20140321_old_mice_bri42.crnd8_08.RCC"	"X20140321_old_mice_bri42.crnd8_09.RCC"	"X20140321_old_mice_bri42.crnd8_10.RCC"	"X20140321_old_mice_bri42.crnd8_11.RCC"	"X20140321_old_mice_bri42.crnd8_12.RCC"
"NM_013454.3"	"Endogenous"	"NM_013454.3"	"NM_013454.3"	8.692	8.645	8.763	7.908	8.274	8.241	8.725	8.521	8.754	8.523	8.009	8.298	8.86	7.89	8.058	7.987	8.243	8.452	7.998	8.072	7.874	8.692	8.565	8.823	8.192	8.116	8.187
"NM_009598.2"	"Endogenous"	"NM_009598.2"	"NM_009598.2"	6.814	6.887	7.365	7.073	6.821	6.892	7.07	6.916	6.86	7.02	6.949	6.929	7.669	6.135	6.489	7.526	6.937	6.955	6.813	6.919	7.161	7.28	7.195	7.365	7.321	7.467	7.384
"NM_007399.3"	"Endogenous"	"NM_007399.3"	"NM_007399.3"	9.498	9.652	9.691	9.577	9.548	9.53	9.56	9.626	9.576	9.606	9.449	9.571	9.785	9.587	9.556	9.593	9.56	9.481	9.647	9.563	9.466	9.682	9.573	9.605	9.567	9.563	9.574
"NM_001277266.1"	"Endogenous"	"NM_001277266.1"	"NM_001277266.1"	7.013	7.32	7.302	7.037	7.22	6.854	7.145	7.458	7.637	7.104	6.96	6.929	7.698	7.14	6.993	7.181	7.153	6.913	7.323	7.059	6.781	7.315	7.138	7.394	7.096	7.165	6.867
"NM_009662.2"	"Endogenous"	"NM_009662.2"	"NM_009662.2"	3.837	3.54	4.633	4.091	3.202	3.732	3.225	4.187	3.461	2.761	3.799	3.182	4.746	4.046	1.745	3.244	2.281	4.54	0	1.915	1.442	3.862	5.04	4.644	4.101	3.535	4.421
"NM_009663.1"	"Endogenous"	"NM_009663.1"	"NM_009663.1"	4.093	5.28	4.992	4.264	3.416	3.644	4.921	5.212	4.571	4.384	4.506	4.022	5.124	3.005	3.064	4.088	4.624	4.976	3.548	2.324	3.584	4.469	3.749	4.067	3.39	3.077	3.786
"NM_001198823.1"	"Endogenous"	"NM_001198823.1"	"NM_001198823.1"	12.92	12.91	12.94	12.96	12.91	12.85	12.87	12.89	12.92	13	12.92	12.86	11.96	11.88	11.9	11.82	11.74	11.85	11.82	11.96	12.78	13.24	13.12	13.22	12.23	12.34	12.32
"NM_000484.3"	"Endogenous"	"NM_000484.3"	"NM_000484.3"	15.9	15.88	15.86	15.98	15.96	15.89	16.03	15.94	15.87	15.98	15.95	16.02	12.88	12.68	12.52	12.51	12.4	12.42	12.8	12.63	15.83	16.01	15.99	15.96	13	13.01	12.98
"NM_007482.3"	"Endogenous"	"NM_007482.3"	"NM_007482.3"	0	0	0	0	0	1.644	0	1.65	0	0	0	0	0	3.005	0	1.784	0	0	0	0	1.442	0	0	0	0	0	0
"NM_012019.2"	"Endogenous"	"NM_012019.2"	"NM_012019.2"	7.757	7.889	7.764	8.034	7.731	8.104	7.811	7.883	7.811	7.801	7.913	7.838	8.065	8.199	7.916	8.037	7.935	7.976	8.027	7.896	7.922	7.402	7.718	7.336	7.679	7.605	7.789
