Accession	IPA Name	Log ratio	P-value	Q-value
NM_010745.2	LY86	2.2881	7.11E-06	0.000447242
NM_007572.2	C1QA	2.1074	0.000112653	0.002498846
NM_011333.3	Ccl2	4.2372	0.000152027	0.002498846
NM_011413.2	C4A/C4B	2.6089	0.000158976	0.002498846
NM_013545.2	PTPN6	2.1241	0.000221542	0.002650127
NM_009777.2	C1QB	2.0579	0.000252901	0.002650127
NM_009982.4	CTSC	1.8221	0.000627287	0.004868911
NM_026835.2	MS4A6A	4.7234	0.000665043	0.004868911
NM_001077189.1	FCGR2B	2.4934	0.000696959	0.004868911
NM_021443.2	Ccl8	7.1989	0.000940232	0.005911556
NM_001037747.1	CARD9	1.1228	0.001036271	0.005923081
NM_144559.1	FCGR3A	4.2935	0.00126743	0.005976989
NM_011662.2	TYROBP	1.5224	0.001509322	0.005976989
NM_013653.3	CCL5	4.7629	0.001622353	0.005976989
NM_009735.3	B2M	1.4435	0.001629744	0.005976989
NM_010188.5	FCGR2A	1.5713	0.001689331	0.005976989
NM_001082960.1	ITGAM	3.0298	0.001778888	0.005976989
NM_031178.2	TLR9	2.7254	0.001814894	0.005976989
NM_009987.3	CX3CR1	0.9109	0.001819446	0.005976989
NM_008361.3	IL1B	2.8064	0.001901277	0.005976989
NM_009853.1	CD68	1.9362	0.00248502	0.00744008
NM_007577.4	C5AR1	3.836	0.002733584	0.007812259
NM_010548.1	IL10	9.7005	0.003622616	0.009628318
NM_008175.3	GRN	0.61205	0.003675316	0.009628318
NM_030682.1	TLR1	2.5746	0.004484566	0.0112784
NM_213659.2	STAT3	0.403	0.004999607	0.01209009
NM_009983.2	CTSD	0.8275	0.00608895	0.01375615
NM_010368.1	GUSB	1.0244	0.006126155	0.01375615
NM_001164477.1	IFIH1	1.1861	0.006367486	0.01380502
NM_021394.2	ZBP1	4.2173	0.007284588	0.01526689
NM_010185.4	FCER1G	2.3528	0.008460575	0.01715952
NM_011210.3	PTPRC	2.448	0.009740747	0.01913856
NM_010382.2	HLA-DRB1	4.2537	0.01038613	0.01978821
NM_010736.3	LTBR	1.2473	0.01255753	0.02260157
NM_031254.2	TREM2	1.4224	0.01258171	0.02260157
NM_008349.5	IL10RB	0.7701	0.01642466	0.0286854
NM_001037859.2	CSF1R	0.64325	0.01746926	0.02904308
NM_010876.3	NCF1	1.821	0.01762285	0.02904308
NM_009696.2	APOE	0.5855	0.01801525	0.02904308
NM_010186.5	FCGR1A	3.5356	0.02008956	0.03157748
NM_017372.3	Lyz1/Lyz2	1.3546	0.0213196	0.03269356
NM_009663.1	ALOX5AP	1.355	0.02487435	0.03701321
NM_011655.5		-0.1225	0.02533206	0.03701321
NM_009779.2	C3AR1	3.4476	0.02590254	0.03701321
NM_008599.4	CXCL9	3.161	0.03361682	0.04610975
NM_023279.2	TUBB3	-0.138	0.03373522	0.04610975
NM_008410.2	ITM2B	0.197	0.03562964	0.04766292
NM_007540.4	BDNF	-0.3428	0.04408424	0.0577443
NM_013556.2		0.098	0.04661469	0.05968327
NM_008625.2	MRC1	0.8502	0.04770522	0.05968327
NM_021274.1	CXCL10	2.7276	0.04956726	0.05968327
NM_010189.3	FCGRT	0.4203	0.04972468	0.05968327
NM_183168.2	P2RY6	2.2436	0.05031083	0.05968327
NM_008512.2	LRP1	0.1376	0.05184992	0.06037002
NM_007722.3	ACKR3	0.71355	0.05473183	0.06256685
NM_001113530.1	CSF1	0.3258	0.05575236	0.06259537
NM_008342.3	IGFBP2	-0.2253	0.06132843	0.06700294
NM_001038609m.1		-0.131	0.06180945	0.06700294
NM_010559.2	IL6R	1.016	0.06353703	0.06770829
NM_024200.4	MFN1	-0.1612	0.06649685	0.0696814
NM_009911.3	CXCR4	-2.1086	0.09235183	0.0922173
NM_007631.2	CCND1	0.95845	0.09363301	0.0922173
NM_007482.3	ARG1	-1.2462	0.09459025	0.0922173
NM_177942.1	ECE2	-0.1984	0.09509111	0.0922173
NM_007567.2	BSN	-0.2662	0.0953364	0.0922173
NM_007798.2	CTSB	0.25475	0.1008469	0.09510437
NM_030707.3	Fcrls	1.3413	0.1028072	0.09510437
NM_010240.2	FTL	0.2088	0.1031738	0.09510437
NM_001123382.1	IL1R1	-0.40625	0.1043717	0.09510437
NM_013454.3	ABCA1	0.41205	0.1066872	0.09563441
NM_001131020.1	GFAP	0.7282	0.1079955	0.09563441
NM_013484.2	C2	1.6571	0.1168671	0.1020533
NM_009252.2	SERPINA3	0.77435	0.1280173	0.1102587
NM_011708.3	VWF	0.3731	0.1416956	0.1203903
NM_013654.3	CCL7	1.7937	0.1457743	0.1209008
NM_018790.2	ARC	-0.6671	0.1461422	0.1209008
NM_009284.2	STAT6	0.30635	0.1504564	0.1228533
NM_007913.5	EGR1	-0.35945	0.1594568	0.1285332
NM_008963.2	PTGDS	-0.2565	0.1685392	0.1341346
NM_001033922.2	TREML4	-1.0276	0.1807328	0.1409887
NM_001003908.1	CLTC	0.0415	0.1833929	0.1409887
NM_001159711.1	LY96	1.3204	0.1854845	0.1409887
NM_023456.2	NPY	0.19605	0.1868518	0.1409887
NM_010381.2	HLA-DRA	4.0962	0.1901664	0.1409887
NM_009157.4	MAP2K4	0.0595	0.1918548	0.1409887
NM_009788.4	CALB1	-0.1259	0.1928482	0.1409887
NM_001190830.1	JAK3	1.9429	0.1977137	0.142332
NM_009141.2	CXCL6	-1.5041	0.1992133	0.142332
NM_001111058.1	Cd33	1.8901	0.2036857	0.1438923
NM_152234.2	UBQLN1	-0.27475	0.2141493	0.1486195
NM_011337.2	CCL3L1/CCL3L3	1.323	0.2166189	0.1486195
NM_007679.4	CEBPD	-0.97415	0.2231479	0.1486195
NM_001164366.1	ATP13A2	-1.106	0.223642	0.1486195
NM_009305.2	SYP	-0.089	0.2237502	0.1486195
NM_001109752.1	DLG4	-0.145	0.22456	0.1486195
NM_023143.3	C1R	0.56575	0.2299862	0.15016
NM_033374.3	DOCK2	1.3579	0.2316643	0.15016
NM_001277266.1	ADAM17	0.24095	0.2491474	0.1598444
NM_001038609ex9_11.1		-0.1821	0.2544116	0.161573
NM_021406.5	TREM1	-0.87003	0.2625368	0.1650658
NM_144938.2	C1S	0.9332	0.2680985	0.1668937
NM_001172117.1	HCK	1.2086	0.2722658	0.1677298
NM_011609.4	TNFRSF1A	0.44325	0.2773901	0.1677298
NM_010442.2	HMOX1	0.75775	0.2783017	0.1677298
NM_019411.4	PPP2CA	-0.0435	0.2801126	0.1677298
NM_001198823.1		-0.2255	0.2829986	0.1678593
NM_011198.3	PTGS2	-0.36605	0.2885738	0.1695665
NM_001081211.1	PTAFR	1.5307	0.2958066	0.1710861
NM_008198.2	CFB	1.4862	0.2966021	0.1710861
NM_011577.1	TGFB1	0.33245	0.3327746	0.18346
NM_011792.4	BACE1	-0.09525	0.332935	0.18346
NM_001025947.1	DNM1L	-0.0555	0.3344614	0.18346
NM_007687.5	CFL1	0.035	0.3371271	0.18346
NM_009812.2	CASP8	0.79195	0.3386571	0.18346
NM_000345.3	SNCA	0.07215	0.3478965	0.18346
NM_011604.3	TLR6	1.0616	0.3505566	0.18346
NM_022009.1	FLII	0.1645	0.3578542	0.18346
NM_001077411.1	GBA	-0.23755	0.3643562	0.18346
NM_010755.3	MAFF	-0.4754	0.373901	0.18346
NM_009916.2	CCR4	-0.2484	0.373901	0.18346
NM_009892.2	Chil3/Chil4	-1.2546	0.373901	0.18346
NM_021283.2	IL4	-0.601	0.373901	0.18346
NM_009909.3	CXCR2	-0.2484	0.373901	0.18346
NM_013599.2	MMP9	-0.8176	0.373901	0.18346
NM_010861.3	MYL2	-0.2138	0.373901	0.18346
NM_011613.3	TNFSF11	-0.2484	0.373901	0.18346
NM_008604.3	MME	0.13285	0.3770952	0.18346
NM_024441.2	HSPB2	-0.21155	0.378449	0.18346
NM_010234.2	FOS	-0.41835	0.3901427	0.18346
NM_010554.4	IL1A	0.54425	0.3910022	0.18346
NM_010766.2	MARCO	0.66925	0.3910022	0.18346
NM_001113326.1	MSR1	0.75725	0.3910022	0.18346
NM_000454.4		0.031775	0.3910022	0.18346
NM_013652.2	CCL4	0.1606	0.3910022	0.18346
NM_027571.3	P2RY12	-0.1045	0.3976673	0.1852052
NM_007399.3	ADAM10	0.06525	0.4012687	0.1855083
NM_000484.3	APP	-0.609	0.406162	0.1863999
