Accession	IPA Name	Log ratio	P-value	Q-value
NM_011413.2	C4A/C4B	2.4187	2.75E-08	7.93E-07
NM_021443.2	Ccl8	7.9403	1.33E-07	1.43E-06
NM_009696.2	APOE	0.775	1.73E-07	1.43E-06
NM_010548.1	IL10	9.8607	1.98E-07	1.43E-06
NM_144559.1	FCGR3A	6.3431	6.43E-07	3.71E-06
NM_009779.2	C3AR1	1.5805	9.37E-07	4.50E-06
NM_009777.2	C1QB	1.6722	1.17E-06	4.81E-06
NM_013653.3	CCL5	5.3601	1.94E-06	6.99E-06
NM_010382.2	HLA-DRB1	5.6153	3.53E-06	1.13E-05
NM_007572.2	C1QA	1.5037	4.76E-06	1.37E-05
NM_007577.4	C5AR1	4.4287	6.48E-06	1.70E-05
NM_021394.2	ZBP1	4.2801	9.33E-06	2.20E-05
NM_011210.3	PTPRC	1.9148	9.94E-06	2.20E-05
NM_009982.4	CTSC	1.9675	1.16E-05	2.26E-05
NM_026835.2	MS4A6A	3.3932	1.18E-05	2.26E-05
NM_008599.4	CXCL9	4.9668	1.43E-05	2.49E-05
NM_010186.5	FCGR1A	1.784	1.48E-05	2.49E-05
NM_001077189.1	FCGR2B	2.2167	1.55E-05	2.49E-05
NM_013545.2	PTPN6	1.212	2.11E-05	3.20E-05
NM_008625.2	MRC1	1.604	2.61E-05	3.76E-05
NM_001082960.1	ITGAM	1.5948	2.75E-05	3.78E-05
NM_010188.5	FCGR2A	1.0965	3.43E-05	4.49E-05
NM_001131020.1	GFAP	0.8495	0.000100802	0.000126317
NM_013492.2	Clu	0.30833	0.000109134	0.000131059
NM_010745.2	LY86	1.3457	0.000128731	0.000148411
NM_010185.4	FCER1G	1.447	0.000145392	0.00015405
NM_017372.3	Lyz1/Lyz2	1.3868	0.000148242	0.00015405
NM_023143.3	C1R	1.8478	0.000149658	0.00015405
NM_213659.2	STAT3	0.42167	0.000168456	0.000167421
NM_011577.1	TGFB1	0.52133	0.000201962	0.00019403
NM_027571.3	P2RY12	-0.95067	0.000293159	0.00027256
NM_008404.4	ITGB2	1.1905	0.000316794	0.00028533
NM_021274.1	CXCL10	3.3388	0.000332666	0.000290546
NM_009735.3	B2M	1.4433	0.000348577	0.000295489
NM_001037747.1	CARD9	1.1248	0.000363625	0.000299438
NM_007913.5	EGR1	-0.97	0.000380953	0.000299662
NM_011333.3	Ccl2	3.6823	0.000384691	0.000299662
NM_010381.2	HLA-DRA	5.5517	0.000667404	0.000506204
NM_010876.3	NCF1	0.82	0.00072961	0.000539197
NM_001172117.1	HCK	3.0141	0.000831478	0.000599117
NM_008349.5	IL10RB	0.5535	0.001162533	0.000817226
NM_010368.1	GUSB	0.5535	0.001365419	0.000936996
NM_009848.3	ENTPD1	-0.322	0.001576762	0.001056863
NM_001190830.1	JAK3	1.3815	0.001740882	0.001140348
NM_009911.3	CXCR4	1.5938	0.001806589	0.001157091
NM_030707.3	Fcrls	1.7043	0.001921665	0.001204039
NM_013454.3	ABCA1	0.4745	0.002073844	0.001271742
NM_009987.3	CX3CR1	0.37017	0.002333835	0.00140136
NM_010240.2	FTL	0.24	0.002932111	0.001724666
NM_008872.2	PLAT	0.31833	0.003531745	0.002035824
NM_009700.2	AQP4	0.32583	0.004621198	0.002577801
NM_009252.2	SERPINA3	1.0945	0.004650846	0.002577801
NM_016740.3	S100A11	0.51083	0.004882355	0.00265506
NM_011337.2	CCL3L1/CCL3L3	-2.1453	0.005527467	0.002950212
NM_007798.2	CTSB	0.27833	0.008546345	0.004478561
NM_008198.2	CFB	1.1432	0.009635084	0.004958933
NM_009663.1	ALOX5AP	0.8055	0.009819986	0.004965429
NM_001109752.1	DLG4	-0.20167	0.01122157	0.00547877
NM_009853.1	CD68	0.68217	0.01129341	0.00547877
NM_008410.2	ITM2B	0.14	0.01140548	0.00547877
NM_013484.2	C2	2.0817	0.01163072	0.005495377
NM_010442.2	HMOX1	0.83067	0.01203473	0.005594556
NM_001113326.1	MSR1	2.6956	0.01282272	0.005866246
NM_010559.2	IL6R	-0.41917	0.01349878	0.006018999
NM_008342.3	IGFBP2	-0.4725	0.01357428	0.006018999
NM_001038609m.1		-0.19467	0.01465535	0.006327169
NM_031178.2	TLR9	1.9578	0.01470833	0.006327169
NM_009157.4	MAP2K4	-0.076667	0.01518168	0.006434752
NM_021297.2	TLR4	0.65983	0.01930609	0.008064286
NM_009983.2	CTSD	0.30167	0.02013407	0.008289994
NM_007762.4	CRHR1	-0.89017	0.02075439	0.008372871
NM_030682.1	TLR1	2.4765	0.02091636	0.008372871
NM_023456.2	NPY	0.512	0.02158195	0.008520961
NM_008175.3	GRN	0.27667	0.02239892	0.008623609
NM_001277266.1	ADAM17	0.29517	0.02244034	0.008623609
NM_001113530.1	CSF1	0.39917	0.0228378	0.008660869
NM_008855.2	PRKCB	-0.19333	0.02407266	0.009010609
NM_152234.2	UBQLN1	-0.16683	0.02446923	0.009041624
NM_010234.2	FOS	-1.315	0.02503945	0.009135207
NM_024200.4	MFN1	-0.26617	0.02776276	0.01000215
NM_031254.2	TREM2	0.408	0.02875615	0.01022348
NM_009778.2	C3	2.254	0.02908652	0.01022348
NM_008361.3	IL1B	2.3895	0.03329244	0.01145271
NM_009776.3	SERPING1	2.1488	0.03337851	0.01145271
NM_144938.2	C1S	1.5858	0.03511875	0.01190806
NM_001001303.1		-0.061667	0.04287747	0.01436983
NM_009284.2	STAT6	0.229	0.04442027	0.01456909
NM_025730.3	LRRK2	-0.3585	0.04448302	0.01456909
NM_013650.2	S100A8	1.2893	0.04604861	0.01491239
NM_016700.3	MAPK8	-0.15017	0.05018255	0.01607056
